Census year,Add,Shop,Seating type,Number of seats
2019,"Level 1, 178-190 Little Bourke Street MELBOURNE 3000",Bornga Melbourne,Seats - Indoor,110
2019,"Floor 3, 207 Russell Street MELBOURNE 3000",Sweetie And Moustache Dessert Lounge,Seats - Indoor,80
2019,"Ground , 213 Russell Street MELBOURNE 3000",Dragon Hot Pot,Seats - Indoor,35
2019,221 Russell Street MELBOURNE 3000,Ma Lu Bian Bian Hot Pot,Seats - Indoor,36
2019,231 Russell Street MELBOURNE 3000,Town Tea,Seats - Indoor,20
2019,264 Swanston Street MELBOURNE 3000,Noodle Kingdom/Gong De Lin,Seats - Indoor,120
2019,"Level 1, 234 Swanston Street MELBOURNE 3000",Belleville,Seats - Indoor,130
2019,"Gnd & Flr1 , 23 Tattersalls Lane MELBOURNE 3000",Shanghai Dumpling Restaurant,Seats - Indoor,195
2019,"Gnd & Flr1 , 3-5 Waratah Place MELBOURNE 3000",Old Crystal Jade Steamboat,Seats - Indoor,50
2019,"Ground , 7 Waratah Place MELBOURNE 3000",New Kum Den Chinese Restaurant,Seats - Indoor,70
2019,238 Little Bourke Street MELBOURNE 3000,Rice Workshop,Seats - Indoor,60
2019,234 Little Bourke Street MELBOURNE 3000,Yang's Braised Chicken Rice,Seats - Indoor,70
2019,"Ground , 11-17 Cohen Place MELBOURNE 3000",Tea House At Chinatown,Seats - Indoor,100
2019,"Level 1, 26 Corrs Lane MELBOURNE 3000",Fukuryu Ramen,Seats - Indoor,60
2019,223 Exhibition Street MELBOURNE 3000,Yamato Japanese Restaurant,Seats - Indoor,50
2019,103 Lonsdale Street MELBOURNE 3000,Bomba Tapas Bar and Rooftop,Seats - Indoor,118
2019,113 Lonsdale Street MELBOURNE 3000,Seamstress,Seats - Indoor,20
2019,234B Russell Street MELBOURNE 3000,Pho Dung Tan Dinh City,Seats - Indoor,80
2019,165 Russell Street MELBOURNE 3000,Izakaya Chuji Japanese Restaurant,Seats - Outdoor,12
2019,"Restaurant , Level 1, 222 Russell Street MELBOURNE 3000",Home Kitchen & Bar,Seats - Indoor,80
2019,"Tenancy 6, 154 Russell Street MELBOURNE 3000",Crystal Jade Restaurant,Seats - Indoor,200
2019,53-55 Lonsdale Street MELBOURNE 3000,Kenny's Bakery Cafe,Seats - Indoor,36
2019,"Ground , 40-46 Little Bourke Street MELBOURNE 3000",Longrain,Seats - Indoor,150
2019,"Shop 1, 280 King Street MELBOURNE 3000",Dosirock,Seats - Indoor,40
2019,270 King Street MELBOURNE 3000,Gangnam Pocha,Seats - Indoor,37
2019,523-525 Little Lonsdale Street MELBOURNE 3000,Paik's BBQ,Seats - Indoor,72
2019,"Shop 6, 551-555 Little Lonsdale Street MELBOURNE 3000",The Little Cafe,Seats - Indoor,26
2019,"Shop 4, 551-555 Little Lonsdale Street MELBOURNE 3000",Mapo Grill & Bar,Seats - Indoor,64
2019,"Part Ground , 255 William Street MELBOURNE 3000",William St Deli,Seats - Outdoor,12
2019,"Shop , 550 Lonsdale Street MELBOURNE 3000",Shuji Sushi,Seats - Indoor,28
2019,"Shop , 550 Lonsdale Street MELBOURNE 3000",Meeting Place,Seats - Indoor,50
2019,"Shop 3, 535 Little Lonsdale Street MELBOURNE 3000",Back Pocket Little Lonsdale,Seats - Outdoor,15
2019,"Shop , 535 Little Lonsdale Street MELBOURNE 3000",Seven Star Korea,Seats - Indoor,68
2019,"Shop , 535 Little Lonsdale Street MELBOURNE 3000",Gami At Healeys - Chicken & Beer,Seats - Outdoor,12
2019,"Shop , 535 Little Lonsdale Street MELBOURNE 3000",Kenny's Bakery Cafe,Seats - Outdoor,12
2019,"Shop , 535 Little Lonsdale Street MELBOURNE 3000",Kenny's Bakery Cafe,Seats - Indoor,12
2019,291-293 Elizabeth Street MELBOURNE 3000,Oriental Spoon,Seats - Indoor,150
2019,113 Lonsdale Street MELBOURNE 3000,Hash Specialty Coffee And Roasters,Seats - Outdoor,10
2019,113 Lonsdale Street MELBOURNE 3000,Hash Specialty Coffee And Roasters,Seats - Indoor,70
2019,"Ground , 366-368 Lonsdale Street MELBOURNE 3000",Mamak,Seats - Indoor,100
2019,279-281 Lonsdale Street MELBOURNE 3000,Noodle Villa,Seats - Indoor,84
2019,"Ground , 385 Little Lonsdale Street MELBOURNE 3000",A New Life,Seats - Indoor,108
2019,"Shop 3, 391 Little Lonsdale Street MELBOURNE 3000",Gypsy & Pig,Seats - Indoor,20
2019,"Unit 1, 256 Queen Street MELBOURNE 3000",Red Cliff Chinese Restaurant,Seats - Indoor,78
2019,251-255 Little Lonsdale Street MELBOURNE 3000,Chocolateria San Churro QV,Seats - Outdoor,60
2019,25-27 Little Lonsdale Street MELBOURNE 3000,Max Brenner Chocolates,Seats - Outdoor,56
2019,31 Little Lonsdale Street MELBOURNE 3000,Meat Fish Wine,Seats - Indoor,100
2019,Part 1-7 Little Lonsdale Street MELBOURNE 3000,Schnitz QV,Seats - Indoor,134
2019,Little Lonsdale Street MELBOURNE 3000,Red Spice QV,Seats - Indoor,150
2019,31 Little Lonsdale Street MELBOURNE 3000,Meat Fish Wine,Seats - Outdoor,4
2019,13-15 Little Lonsdale Street MELBOURNE 3000,Hanaichi,Seats - Outdoor,24
2019,17-23 Little Lonsdale Street MELBOURNE 3000,Grill'd (QV),Seats - Outdoor,27
2019,"Shop 11, 242 Exhibition Street MELBOURNE 3000",Barista Cafe,Seats - Indoor,52
2019,"Shop 6, 36 Lonsdale Street MELBOURNE 3000",Goz City,Seats - Outdoor,19
2019,"Shop 6, 36 Lonsdale Street MELBOURNE 3000",Goz City,Seats - Indoor,33
2019,"Shop 16, 36 Lonsdale Street MELBOURNE 3000",Degani At Madame Brussels Lane,Seats - Outdoor,32
2019,"Shop 7, 36 Lonsdale Street MELBOURNE 3000",Babbo,Seats - Outdoor,23
2019,"Shop 7, 36 Lonsdale Street MELBOURNE 3000",Babbo,Seats - Indoor,42
2019,"Building , Part Ground , 555 La Trobe Street MELBOURNE 3000",Angliss Bistro,Seats - Indoor,60
2019,"Ground 0, 324-326 King Street MELBOURNE 3000",VN Wrap & Roll,Seats - Indoor,40
2019,"Part Ground , 485 La Trobe Street MELBOURNE 3000",Perch Cafe,Seats - Indoor,20
2019,"Part Ground , 485 La Trobe Street MELBOURNE 3000",Atrium 485,Seats - Indoor,32
2019,"Shop 1, Ground , 466-468 Little Lonsdale Street MELBOURNE 3000",Tao's Asian BBQ Kitchen,Seats - Outdoor,22
2019,"Gnd & Bmt , 299 Queen Street MELBOURNE 3000",Quanjude Restaurant,Seats - Indoor,160
2019,"Ground , 299 Queen Street MELBOURNE 3000",Melbourne Mahn Doo,Seats - Indoor,90
2019,Rear 280-0 William Street MELBOURNE 3000,Grounds of Arcadia,Seats - Outdoor,250
2019,"Ground , 33 Guildford Lane MELBOURNE 3000",Brick Lane Cafe,Seats - Outdoor,4
2019,288 Sutherland Street MELBOURNE 3000,Wings of Glory,Seats - Indoor,42
2019,288 Little Lonsdale Street MELBOURNE 3000,Corner Lane Cafe,Seats - Outdoor,10
2019,288 Little Lonsdale Street MELBOURNE 3000,Corner Lane Cafe,Seats - Indoor,50
2019,30 Guildford Lane MELBOURNE 3000,Cat Cafe Melbourne,Seats - Indoor,24
2019,"Shop 220, Level 2, 300-265 La Trobe Street MELBOURNE 3000",Billy's Central,Seats - Indoor,32
2019,"Shop 319, Level 3, 300 La Trobe Street MELBOURNE 3000",The Pancake Parlour,Seats - Indoor,160
2019,"Shop 209, 300 La Trobe Street MELBOURNE 3000",Frozen by a Thousand Blessings,Seats - Indoor,8
2019,"Kiosk 13, Ground , 300 La Trobe Street MELBOURNE 3000",Elles Naturally,Seats - Indoor,30
2019,"Shop 7, Ground , 300 La Trobe Street MELBOURNE 3000",Chilli India,Seats - Outdoor,50
2019,"Shop 313, Level 3, 300 La Trobe Street MELBOURNE 3000",TGI Fridays Restarant & Bar,Seats - Indoor,330
2019,"Shop 309, Level 3, 300 La Trobe Street MELBOURNE 3000",Nando's Melbourne Central,Seats - Indoor,122
2019,"Shop 263, Level 2, 300 La Trobe Street MELBOURNE 3000",Mad Mex,Seats - Indoor,25
2019,"Level 1, 272-282 Lonsdale Street MELBOURNE 3000",Charming Spice,Seats - Indoor,200
2019,"Ground , 307 Swanston Street MELBOURNE 3000",Ramen Bankara,Seats - Indoor,60
2019,313-315 Swanston Street MELBOURNE 3000,D House Cafe,Seats - Outdoor,8
2019,"Part Level 1, 285-321 Swanston Street MELBOURNE 3000",Guild,Seats - Indoor,60
2019,"Ground , 295 Exhibition Street MELBOURNE 3000",Sally's Kitchen,Seats - Indoor,50
2019,"Ground , 295 Exhibition Street MELBOURNE 3000",Sally's Kitchen,Seats - Outdoor,15
2019,"Ground , 297 Exhibition Street MELBOURNE 3000",Miss Chu,Seats - Outdoor,12
2019,"Ground , 297 Exhibition Street MELBOURNE 3000",Miss Chu,Seats - Indoor,50
2019,311 Exhibition Street MELBOURNE 3000,Grandma's Dumpling,Seats - Outdoor,6
2019,285 Spring Street MELBOURNE 3000,Lost Angel Bar & Restaurant,Seats - Indoor,60
2019,18 Spring Street MELBOURNE 3000,Wonderpop & Deli,Seats - Indoor,22
2019,"Lot 1, Part Ground , 347 King Street WEST MELBOURNE 3003",Hansang,Seats - Indoor,32
2019,"Ground , 341 King Street WEST MELBOURNE 3003",Impresso Cafe,Seats - Indoor,16
2019,"Part Ground , 414 La Trobe Street MELBOURNE 3000",Cafenatics,Seats - Outdoor,8
2019,"Unit 101, Level 1, 28 Wills Street MELBOURNE 3000",Little Chef,Seats - Indoor,36
2019,"Unit 3, Ground , 25 Wills Street MELBOURNE 3000",Operator 25,Seats - Outdoor,18
2019,379 La Trobe Street MELBOURNE 3000,Lanzhou Beef Noodle Bar,Seats - Indoor,65
2019,"Part Ground , 338 Queen Street MELBOURNE 3000",Niku Niku Japanese Gourmet,Seats - Indoor,41
2019,"Ground , 360 La Trobe Street MELBOURNE 3000",Manjok Korean,Seats - Indoor,52
2019,"Level 1, 360 La Trobe Street MELBOURNE 3000",Upstairs 360,Seats - Indoor,50
2019,"Ground , 300 La Trobe Street MELBOURNE 3000",Klik Cafe,Seats - Outdoor,19
2019,"Ground , 300 La Trobe Street MELBOURNE 3000",Klik Cafe,Seats - Indoor,70
2019,"Ground , 53 A'Beckett Street MELBOURNE 3000",Darac Grill & Bar,Seats - Indoor,44
2019,"Tenancy 101, Mezzanine , 398-89 A'Beckett Street MELBOURNE 3000",Da Long Yi,Seats - Indoor,140
2019,254 Elizabeth Street MELBOURNE 3000,Oriental Spoon,Seats - Indoor,180
2019,"Shop 1, 31 A'Beckett Street MELBOURNE 3000",No 1 Spicy Pot,Seats - Indoor,58
2019,55-59 A'Beckett Street MELBOURNE 3000,The Orient Dragon Hotpot,Seats - Indoor,194
2019,"Part Level 4, 394-412 Swanston Street MELBOURNE 3000",Little Bang Espresso,Seats - Indoor,26
2019,"Unit 1, 355-357 Exhibition Street MELBOURNE 3000",Thailicious,Seats - Outdoor,12
2019,"Shop 3, Ground , 365 Queen Street MELBOURNE 3000",Buza Chicken,Seats - Indoor,50
2019,245 Franklin Street MELBOURNE 3000,Diner on Franklyn,Seats - Outdoor,12
2019,245 Franklin Street MELBOURNE 3000,Diner on Franklyn,Seats - Indoor,28
2019,427 Elizabeth Street MELBOURNE 3000,Shujinko Ramen,Seats - Outdoor,6
2019,435 Elizabeth Street MELBOURNE 3000,Rose Garden Barbecue Shop,Seats - Indoor,32
2019,"Ground , 437-439 Elizabeth Street MELBOURNE 3000",Menya Ramen,Seats - Indoor,94
2019,"Shop , 163-165 Franklin Street MELBOURNE 3000",Andrew's Hamburgers,Seats - Indoor,60
2019,"Shop , 118-165 Franklin Street MELBOURNE 3000",Jojo Little Kitchen,Seats - Outdoor,36
2019,408 Queen Street MELBOURNE 3000,Phancy Cafe & Catering,Seats - Indoor,40
2019,133-135 Victoria Street MELBOURNE 3000,Market Lane Cafe,Seats - Indoor,20
2019,83-85 Victoria Street MELBOURNE 3000,Market Lane Coffee,Seats - Indoor,4
2019,Victoria Street MELBOURNE 3000,Market Espresso & Trolley Hire,Seats - Indoor,28
2019,"Stall 25, 66 Peel Street MELBOURNE 3000",Pizza @ QV,Seats - Outdoor,36
2019,69 Victoria Street MELBOURNE 3000,El Rincon,Seats - Indoor,20
2019,507 Elizabeth Street MELBOURNE 3000,Pickett's Deli & Rotisserie,Seats - Outdoor,42
2019,"Shop 1, 489-499 Elizabeth Street MELBOURNE 3000",Jasper Kitchen,Seats - Outdoor,6
2019,114-116 Franklin Street MELBOURNE 3000,Sung's Kitchen,Seats - Indoor,78
2019,471 Elizabeth Street MELBOURNE 3000,Tang's Spicy Hot Pot,Seats - Indoor,34
2019,512A-512B Elizabeth Street MELBOURNE 3000,Wing Loong Chinese Restaurant,Seats - Indoor,60
2019,"Shop 1, Ground , 18-38 Siddeley Street DOCKLANDS 3008",Degani Bakery Cafe,Seats - Outdoor,26
2019,"Shop 12, Ground , 18-38 Siddeley Street DOCKLANDS 3008",Byblos Bar & Restaurant,Seats - Indoor,220
2019,"Shop 1, Ground , 18-38 Siddeley Street DOCKLANDS 3008",Degani Bakery Cafe,Seats - Indoor,72
2019,"Shop 13, LwrConcrse , 18-38 Siddeley Street DOCKLANDS 3008",Jamps Cafe,Seats - Outdoor,11
2019,"Shop 16, Ground , 18-38 Siddeley Street DOCKLANDS 3008",Riverside Teppanyaki,Seats - Indoor,60
2019,"Shop 13, Ground , 18-38 Siddeley Street DOCKLANDS 3008",Man Mo @ Wtc,Seats - Indoor,110
2019,"Shop 12, Ground , 18-38 Siddeley Street DOCKLANDS 3008",Byblos Bar & Restaurant,Seats - Outdoor,53
2019,258 Elgin Street CARLTON 3053,Cafe Sua Da,Seats - Indoor,45
2019,802 Swanston Street CARLTON 3053,Masters Of Burgerology,Seats - Indoor,50
2019,Part 251 Faraday Street CARLTON 3053,Wild Timor Coffee Carlton Pty Ltd,Seats - Outdoor,24
2019,"Part Ground , 720 Swanston Street CARLTON 3053",Toothpicks Cafe,Seats - Indoor,60
2019,740 Swanston Street CARLTON 3053,E Dumpling,Seats - Indoor,32
2019,748 Swanston Street CARLTON 3053,Claypot Kingdom,Seats - Indoor,40
2019,221-229 Faraday Street CARLTON 3053,Thresherman's Bakehouse,Seats - Outdoor,50
2019,221-229 Faraday Street CARLTON 3053,Thresherman's Bakehouse,Seats - Indoor,70
2019,88 Lygon Street CARLTON 3053,Dumpling ADA,Seats - Outdoor,16
2019,"Ground , 253 Lygon Street CARLTON 3053",La Parisienne Pates,Seats - Outdoor,12
2019,263 Lygon Street CARLTON 3053,Lygon Food Store,Seats - Outdoor,45
2019,323 Lygon Street CARLTON 3053,Milk The Cow,Seats - Outdoor,20
2019,329 Lygon Street CARLTON 3053,Heartattack and Vine,Seats - Indoor,35
2019,331-335 Lygon Street CARLTON 3053,Jimmy Watsons,Seats - Outdoor,28
2019,331-335 Lygon Street CARLTON 3053,Jimmy Watsons,Seats - Indoor,120
2019,341-343 Lygon Street CARLTON 3053,Intersection Cafe,Seats - Indoor,39
2019,"Gnd & Flr1 , 330 Cardigan Street CARLTON 3053",Le Miel Et Le Lune,Seats - Outdoor,8
2019,"Shop , 478 Drummond Street CARLTON 3053",Adonai Foods,Seats - Outdoor,16
2019,"Part Ground , 497-513 Rathdowne Street CARLTON 3053",Rathdowne & Reeves Cafe,Seats - Indoor,48
2019,401 Rathdowne Street CARLTON 3053,Shompen,Seats - Indoor,22
2019,348 Drummond Street CARLTON 3053,Vincent The Dog,Seats - Outdoor,12
2019,"Ground , 169 Elgin Street CARLTON 3053",Cafe Lua,Seats - Outdoor,36
2019,"Ground , 194-196 Faraday Street CARLTON 3053",Yo-Chi,Seats - Outdoor,20
2019,400 Lygon Street CARLTON 3053,Trotters Bistro,Seats - Indoor,125
2019,400 Lygon Street CARLTON 3053,Trotters Bistro,Seats - Outdoor,24
2019,"Shop 17, 368-384 Lygon Street CARLTON 3053",Brunetti Carlton,Seats - Indoor,300
2019,364 Lygon Street CARLTON 3053,Seasalt Fish & Sushi Bar,Seats - Indoor,43
2019,362 Lygon Street CARLTON 3053,Sea Saltfish & Sushi Bar,Seats - Indoor,43
2019,8 Raffa Place CARLTON 3053,The Vertue of the Coffee Drink,Seats - Outdoor,25
2019,201-203 Faraday Street CARLTON 3053,Shakahari Vegetarian Restaurant,Seats - Indoor,76
2019,"Gnd & Flr1 , 326 Lygon Street CARLTON 3053",DOC Espresso,Seats - Outdoor,60
2019,140 Rathdowne Street CARLTON 3053,Bloom Coffee Bar,Seats - Indoor,22
2019,180 Rathdowne Street CARLTON 3053,Osc&r On Rathdowne,Seats - Indoor,30
2019,164 Rathdowne Street CARLTON 3053,Cure Bar & Eatery,Seats - Indoor,35
2019,160-162 Rathdowne Street CARLTON 3053,Calrton Pizzeria Bar and Restaurant,Seats - Outdoor,12
2019,"Ground , 224 Pelham Street MELBOURNE 3000",Books N Bites Cafe,Seats - Outdoor,12
2019,"Part Ground , 156-180 Berkeley Street CARLTON 3053",Cafe  Commercio,Seats - Outdoor,20
2019,196 Pelham Street CARLTON 3053,The Dumplings & Tea Co,Seats - Outdoor,8
2019,163 Grattan Street CARLTON 3053,Animal Orchestra,Seats - Outdoor,88
2019,167 Grattan Street CARLTON 3053,Mantra Lounge,Seats - Indoor,32
2019,723 Swanston Street CARLTON 3053,Cafe Fillings,Seats - Indoor,34
2019,"Shop 2, 743-751 Swanston Street CARLTON 3053",KFC Carlton,Seats - Indoor,22
2019,"Shop 1, Ground , 121 Cardigan Street CARLTON 3053",Rice Bar Not Only Rice,Seats - Indoor,58
2019,680-682 Swanston Street CARLTON 3053,Colourful Yunnan Restaurant,Seats - Indoor,150
2019,650 Swanston Street CARLTON 3053,Carlton Black Ball,Seats - Indoor,25
2019,"Tenancy 101, 604 Swanston Street CARLTON 3053",Norsiah's Kitchen,Seats - Outdoor,12
2019,"Unit 2, 164 Cardigan Street CARLTON 3053",Jokamz,Seats - Outdoor,4
2019,"Unit 3, 164 Cardigan Street CARLTON 3053",Don Tojo,Seats - Indoor,48
2019,"Ground , 169 Lygon Street CARLTON 3053",Stuzzichino,Seats - Outdoor,34
2019,"Ground , 171 Lygon Street CARLTON 3053",Mixity Restaurant and Cafe,Seats - Indoor,36
2019,"Gnd & Flr1 , 181-183 Lygon Street CARLTON 3053",Cafe Cavallino,Seats - Outdoor,48
2019,"Ground , 185-187 Lygon Street CARLTON 3053",Cafe Cavallino,Seats - Outdoor,68
2019,189 Lygon Street CARLTON 3053,Buenos Aires Steakhouse,Seats - Outdoor,20
2019,201-203 Lygon Street CARLTON 3053,Tono On Borsari,Seats - Indoor,70
2019,201-203 Lygon Street CARLTON 3053,Tono On Borsari,Seats - Outdoor,58
2019,199 Lygon Street CARLTON 3053,Seasons Provedore,Seats - Indoor,20
2019,111-113 Grattan Street CARLTON 3053,Ma Xiao Er Spicy Hot Pot Dips,Seats - Indoor,46
2019,258 Lygon Street CARLTON 3053,T&Y Penguin Kitchen,Seats - Outdoor,12
2019,256 Lygon Street CARLTON 3053,Il Gusto,Seats - Indoor,75
2019,"Unit 5, 252 Lygon Street CARLTON 3053",Villa Romana,Seats - Indoor,200
2019,242-244 Lygon Street CARLTON 3053,Front Cooking School,Seats - Indoor,40
2019,238 Lygon Street CARLTON 3053,Spaghettata Restaurant,Seats - Indoor,130
2019,222 Lygon Street CARLTON 3053,Little Lygon Restaurant,Seats - Indoor,26
2019,222 Lygon Street CARLTON 3053,Little Lygon Restaurant,Seats - Outdoor,50
2019,"Ground , 220A Lygon Street CARLTON 3053",Mondi Cafe,Seats - Indoor,30
2019,218-224 Drummond Street CARLTON 3053,La Cacciatora Restaurant,Seats - Outdoor,26
2019,"Ground , 80 Queensberry Street CARLTON 3053",Coffee on Drummond,Seats - Outdoor,8
2019,"Ground , 80 Queensberry Street CARLTON 3053",Coffee on Drummond,Seats - Indoor,24
2019,166-168 Lygon Street CARLTON 3053,Il Gambero On The Park,Seats - Indoor,221
2019,128-130 Lygon Street CARLTON 3053,Da Guido,Seats - Outdoor,14
2019,122 Lygon Street CARLTON 3053,Tamra Siam,Seats - Outdoor,16
2019,120 Lygon Street CARLTON 3053,Lygon Charcoal Grill & Steakhouse,Seats - Indoor,100
2019,120 Lygon Street CARLTON 3053,Lygon Charcoal Grill & Steakhouse,Seats - Outdoor,29
2019,108 Lygon Street CARLTON 3053,Carlton Curry House,Seats - Outdoor,12
2019,106 Lygon Street CARLTON 3053,Saigon Pho Carlton,Seats - Indoor,35
2019,106 Lygon Street CARLTON 3053,Saigon Pho Carlton,Seats - Outdoor,10
2019,"Ground , 116 Lygon Street CARLTON 3053",Il Dolce Freddo,Seats - Outdoor,24
2019,118 Lygon Street CARLTON 3053,Confucius Says,Seats - Outdoor,20
2019,"Ground , 95-97 Lygon Street CARLTON 3053",I Love Istanbul,Seats - Indoor,42
2019,"Level 1, 90 Lygon Street CARLTON 3053",Black Cat on Lygon,Seats - Indoor,50
2019,99 Lygon Street CARLTON 3053,Toto's Pizza,Seats - Outdoor,28
2019,"Ground , 123 Lygon Street CARLTON 3053",Mercadante Pizza,Seats - Indoor,45
2019,135-137 Lygon Street CARLTON 3053,Universal Pizza,Seats - Indoor,60
2019,"Ground , 143-145 Lygon Street CARLTON 3053",No. 143 Lygon,Seats - Indoor,60
2019,"Ground , 149 Lygon Street CARLTON 3053",Tank Fish And Chippery,Seats - Outdoor,18
2019,"Ground , 151 Lygon Street CARLTON 3053",Tank Fish And Chippery,Seats - Indoor,20
2019,"Ground , 151 Lygon Street CARLTON 3053",Tank Fish And Chippery,Seats - Outdoor,18
2019,210 Queensberry Street CARLTON 3053,The Queensberry Pour House,Seats - Indoor,26
2019,"Unit 1, Ground , 139 Bouverie Street CARLTON 3053",Cafe Tre Sette,Seats - Outdoor,24
2019,"Unit 1, Ground , 139 Bouverie Street CARLTON 3053",Cafe Tre Sette,Seats - Indoor,42
2019,165 Pelham Street CARLTON 3053,Mama Tsai,Seats - Outdoor,12
2019,"Unit 1, Ground , 127-133 Leicester Street CARLTON 3053",Bar Scopa,Seats - Indoor,14
2019,642-644 Elizabeth Street MELBOURNE 3000,Arabesque,Seats - Indoor,80
2019,71-79 Bouverie Street CARLTON 3053,Humble Rays,Seats - Indoor,60
2019,"Shop 1, 204-208 Victoria Street CARLTON 3053",Brother Dough,Seats - Indoor,71
2019,520 Swanston Street CARLTON 3053,Kitchen 520,Seats - Indoor,38
2019,"Unit 1, Part Ground , 466 Swanston Street CARLTON 3053",The Big Mama,Seats - Outdoor,6
2019,"Unit 1, Part Ground , 466 Swanston Street CARLTON 3053",The Big Mama,Seats - Indoor,48
2019,"Part Level 4, 23-27 Cardigan Street CARLTON 3053",Coffee On Cardigan,Seats - Outdoor,68
2019,"Ground , 74 Victoria Street CARLTON 3053",Chinger Biang Biang Noodle,Seats - Indoor,20
2019,68 Victoria Street CARLTON 3053,Carlton Megabytes,Seats - Outdoor,6
2019,68 Victoria Street CARLTON 3053,Carlton Megabytes,Seats - Indoor,33
2019,"Part Ground , 62 Lygon Street CARLTON 3053",Artee Cafe,Seats - Outdoor,7
2019,49 Rathdowne Street CARLTON 3053,Epocha Restaurant,Seats - Indoor,100
2019,Part 30 Royal Parade PARKVILLE 3010,Dr Dax Kitchen,Seats - Outdoor,50
2019,"Shop 39, Ground , 230 Grattan Street PARKVILLE 3010",The Dumplings & Tea Co,Seats - Indoor,48
2019,"Part Level 1, 230 Grattan Street PARKVILLE 3010",The Ida Bar,Seats - Outdoor,100
2019,"Part Level 1, 230 Grattan Street PARKVILLE 3010",The Ida Bar,Seats - Indoor,180
2019,"Shop 3, Ground , 230 Grattan Street PARKVILLE 3010",Zambrero,Seats - Indoor,42
2019,"Shop 39, Ground , 230 Grattan Street PARKVILLE 3010",The Dumplings & Tea Co,Seats - Outdoor,24
2019,594 Queensberry Street NORTH MELBOURNE 3051,Twenty & Six Espresso,Seats - Outdoor,22
2019,688 Queensberry Street NORTH MELBOURNE 3051,Beatrix Cafe,Seats - Indoor,12
2019,"Ground , 9 Errol Street NORTH MELBOURNE 3051",The Hot Poppy,Seats - Indoor,16
2019,47 Errol Street NORTH MELBOURNE 3051,Wonky Trolley,Seats - Indoor,30
2019,69-71 Errol Street NORTH MELBOURNE 3051,Errol's Cafe,Seats - Indoor,40
2019,97 Errol Street NORTH MELBOURNE 3051,Fandango,Seats - Outdoor,4
2019,193 Flemington Road NORTH MELBOURNE 3051,Royal Kebab Cafe,Seats - Indoor,30
2019,12-14 Errol Street NORTH MELBOURNE 3051,Sosta Cucina,Seats - Outdoor,22
2019,8 Errol Street NORTH MELBOURNE 3051,Hanoi in North Melbourne,Seats - Indoor,18
2019,19-21 Leveson Street NORTH MELBOURNE 3051,Roasting Warehouse,Seats - Indoor,60
2019,"Ground , 464 Victoria Street NORTH MELBOURNE 3051",The Sensible Sandwich Cafe,Seats - Indoor,45
2019,"Ground , 445-447 Queensberry Street NORTH MELBOURNE 3051",Grigons & Orr Corner Store,Seats - Indoor,9
2019,364-366 Victoria Street NORTH MELBOURNE 3051,Babu Bar Burger with Balls,Seats - Indoor,40
2019,156 Peel Street NORTH MELBOURNE 3051,Sojung Korean BBQ,Seats - Indoor,40
2019,1-3 Cobden Street NORTH MELBOURNE 3051,Yeonga,Seats - Indoor,96
2019,122-124 Peel Street NORTH MELBOURNE 3051,Maria Trattoria,Seats - Indoor,80
2019,268 Victoria Street NORTH MELBOURNE 3051,Hallah,Seats - Indoor,50
2019,597 Elizabeth Street MELBOURNE 3000,Classic Curry Company,Seats - Indoor,30
2019,"Part Ground , 78 Howard Street NORTH MELBOURNE 3051",Metro Cafe,Seats - Indoor,70
2019,"Part Ground , 56-62 Leveson Street NORTH MELBOURNE 3051",Cafe Trutrack,Seats - Outdoor,20
2019,"Lot , Ground , 55 Flemington Road NORTH MELBOURNE 3051",Flavour Cafe,Seats - Outdoor,60
2019,67 Flemington Road NORTH MELBOURNE 3051,Mum Mum Asian Street Food,Seats - Indoor,42
2019,101 Flemington Road NORTH MELBOURNE 3051,Avist Cafe,Seats - Indoor,40
2019,11-13 Anderson Street WEST MELBOURNE 3003,Roller Door Cafe,Seats - Outdoor,10
2019,661-663 Spencer Street WEST MELBOURNE 3003,Tong Fu Garden Melbourne,Seats - Indoor,60
2019,655 Spencer Street WEST MELBOURNE 3003,Bob's the Name,Seats - Indoor,27
2019,72 Hawke Street WEST MELBOURNE 3003,Butcher Shop Cafe,Seats - Indoor,22
2019,"Ground , 359 Victoria Street WEST MELBOURNE 3003",Amiconi,Seats - Indoor,60
2019,"Ground , 359 Victoria Street WEST MELBOURNE 3003",Amiconi,Seats - Outdoor,8
2019,301-303 Victoria Street WEST MELBOURNE 3003,One Star Coffee Lounge,Seats - Indoor,25
2019,495-497 Spencer Street WEST MELBOURNE 3003,Indian Biryani Lounge,Seats - Indoor,26
2019,"Ground , 511 Spencer Street WEST MELBOURNE 3003",Junie Moon's,Seats - Indoor,20
2019,70-74 Rosslyn Street WEST MELBOURNE 3003,Le Taj Restaurant,Seats - Indoor,50
2019,56 Rosslyn Street WEST MELBOURNE 3003,Rosslyn Pizzeria,Seats - Outdoor,8
2019,215 Victoria Street WEST MELBOURNE 3003,Don Camillo Cafe Bar Restaurant,Seats - Outdoor,9
2019,223 Victoria Street WEST MELBOURNE 3003,Dolcetti,Seats - Indoor,16
2019,"Ground , 225-229 Victoria Street WEST MELBOURNE 3003",Common Ground Coffee,Seats - Outdoor,12
2019,"Shop 1, 39-47 Peel Street WEST MELBOURNE 3003",Chimac,Seats - Indoor,25
2019,"Ground , 87 Peel Street WEST MELBOURNE 3003",Chef Panda 888,Seats - Indoor,10
